Date,Product_Name,Product_ID,Category,Unit_Price,Units_Sold,Supplier_ID,Lead_Time_Days,On_Time_Delivery_Rate,Unit_of_Measure
1/1/2020,SS316 Stainless Steel,M001,Metals,2.39,118,S010,10,0.75,kg
1/2/2020,SS316 Stainless Steel,M001,Metals,2.36,114,S008,10,0.96,kg
1/3/2020,SS316 Stainless Steel,M001,Metals,2.37,121,S008,10,0.96,kg
1/4/2020,SS316 Stainless Steel,M001,Metals,23.6,146,S001,10,0.95,kg
1/5/2020,SS316 Stainless Steel,M001,Metals,3.37,147,S004,10,0.98,kg
1/6/2020,SS316 Stainless Steel,M001,Metals,23.6,143,S005,10,0.92,kg
1/7/2020,SS316 Stainless Steel,M001,Metals,4.37,150,S003,10,0.85,kg
1/8/2020,SS316 Stainless Steel,M001,Metals,23.6,130,S005,10,0.54,kg
1/9/2020,SS316 Stainless Steel,M001,Metals,5.37,141,S010,10,0.75,kg
1/10/2020,SS316 Stainless Steel,M001,Metals,23.6,124,S001,10,0.95,kg
1/11/2020,SS316 Stainless Steel,M001,Metals,6.37,135,S001,10,0.95,kg
1/12/2020,SS316 Stainless Steel,M001,Metals,2.4,167,S002,10,0.9,kg
1/13/2020,SS316 Stainless Steel,M001,Metals,2.34,119,S007,10,0.8,kg
1/14/2020,SS316 Stainless Steel,M001,Metals,2.35,138,S009,10,0.87,kg
1/15/2020,SS316 Stainless Steel,M001,Metals,2.28,126,S006,10,0.88,kg
1/16/2020,SS316 Stainless Steel,M001,Metals,2.37,128,S002,10,0.9,kg
1/17/2020,SS316 Stainless Steel,M001,Metals,2.34,129,S004,10,0.98,kg
1/18/2020,SS316 Stainless Steel,M001,Metals,2.34,122,S007,10,0.8,kg
1/19/2020,SS316 Stainless Steel,M001,Metals,2.48,119,S002,10,0.9,kg
1/20/2020,SS316 Stainless Steel,M001,Metals,2.41,132,S010,10,0.75,kg
1/21/2020,SS316 Stainless Steel,M001,Metals,2.37,113,S009,10,0.87,kg
1/22/2020,SS316 Stainless Steel,M001,Metals,2.39,119,S007,10,0.8,kg
1/23/2020,SS316 Stainless Steel,M001,Metals,2.35,117,S002,10,0.9,kg
1/24/2020,SS316 Stainless Steel,M001,Metals,2.42,135,S004,10,0.98,kg
1/25/2020,SS316 Stainless Steel,M001,Metals,2.36,111,S005,10,0.92,kg
1/26/2020,SS316 Stainless Steel,M001,Metals,2.32,102,S006,10,0.88,kg
1/27/2020,SS316 Stainless Steel,M001,Metals,2.45,127,S001,10,0.95,kg
1/28/2020,SS316 Stainless Steel,M001,Metals,2.34,117,S009,10,0.87,kg
1/29/2020,SS316 Stainless Steel,M001,Metals,2.47,128,S006,10,0.58,kg
1/30/2020,SS316 Stainless Steel,M001,Metals,2.42,102,S002,10,0.9,kg
1/31/2020,SS316 Stainless Steel,M001,Metals,2.41,139,S006,10,0.88,kg
2/1/2020,SS316 Stainless Steel,M001,Metals,2.39,140,S004,10,0.98,kg
2/2/2020,SS316 Stainless Steel,M001,Metals,2.51,178,S009,10,0.87,kg
2/3/2020,SS316 Stainless Steel,M001,Metals,2.55,148,S002,10,0.9,kg
2/4/2020,SS316 Stainless Steel,M001,Metals,2.38,127,S005,10,0.68,kg
2/5/2020,SS316 Stainless Steel,M001,Metals,2.43,160,S002,10,0.9,kg
2/6/2020,SS316 Stainless Steel,M001,Metals,2.39,163,S010,10,0.75,kg
2/7/2020,SS316 Stainless Steel,M001,Metals,2.42,145,S005,10,0.92,kg
2/8/2020,SS316 Stainless Steel,M001,Metals,2.43,124,S003,10,0.85,kg
2/9/2020,SS316 Stainless Steel,M001,Metals,2.5,155,S003,10,0.85,kg
2/10/2020,SS316 Stainless Steel,M001,Metals,2.36,155,S006,10,0.88,kg
2/11/2020,SS316 Stainless Steel,M001,Metals,2.47,130,S003,10,0.85,kg
2/12/2020,SS316 Stainless Steel,M001,Metals,2.47,152,S008,10,0.96,kg
2/13/2020,SS316 Stainless Steel,M001,Metals,2.39,151,S001,10,0.95,kg
2/14/2020,SS316 Stainless Steel,M001,Metals,2.44,132,S001,10,0.95,kg
2/15/2020,SS316 Stainless Steel,M001,Metals,2.41,151,S008,10,0.96,kg
2/16/2020,SS316 Stainless Steel,M001,Metals,2.44,152,S004,10,0.98,kg
2/17/2020,SS316 Stainless Steel,M001,Metals,2.52,138,S008,10,0.96,kg
2/18/2020,SS316 Stainless Steel,M001,Metals,2.39,109,S003,10,0.85,kg
2/19/2020,SS316 Stainless Steel,M001,Metals,2.45,148,S001,10,0.95,kg
2/20/2020,SS316 Stainless Steel,M001,Metals,2.39,112,S003,10,0.85,kg
2/21/2020,SS316 Stainless Steel,M001,Metals,2.47,138,S009,10,0.87,kg
2/22/2020,SS316 Stainless Steel,M001,Metals,2.45,134,S008,10,0.96,kg
2/23/2020,SS316 Stainless Steel,M001,Metals,2.46,145,S002,10,0.9,kg
2/24/2020,SS316 Stainless Steel,M001,Metals,2.41,129,S007,10,0.8,kg
2/25/2020,SS316 Stainless Steel,M001,Metals,2.38,118,S010,10,0.75,kg
2/26/2020,SS316 Stainless Steel,M001,Metals,2.36,151,S002,10,0.9,kg
2/27/2020,SS316 Stainless Steel,M001,Metals,2.43,131,S007,10,0.8,kg
2/28/2020,SS316 Stainless Steel,M001,Metals,2.46,124,S007,10,0.8,kg
2/29/2020,SS316 Stainless Steel,M001,Metals,2.45,128,S008,10,0.96,kg
3/1/2020,SS316 Stainless Steel,M001,Metals,2.51,137,S001,10,0.95,kg
3/2/2020,SS316 Stainless Steel,M001,Metals,2.45,163,S005,10,0.92,kg
3/3/2020,SS316 Stainless Steel,M001,Metals,2.47,137,S002,10,0.9,kg
3/4/2020,SS316 Stainless Steel,M001,Metals,2.36,153,S009,10,0.87,kg
3/5/2020,SS316 Stainless Steel,M001,Metals,2.47,126,S008,10,0.84,kg
